RainfallRegime,Mode,Number,Ratio,Becomes
600-700,1961.6414,1,1,20
700-800,1991.493064,2,1,20
800-900,1992.74367,3,1,20
900-1000,2319.145,3,0.07,25
900-1000,3581.393,4,1,37.5
1000-1100,2294.292,4,1,25
1000-1100,3502.207,4,0.27,37.5
1000-1100,4580.346,5,0.056,47.5
1100-1200,2328.227,5,1,25
1100-1200,3630.793,6,0.69,37.5
1200-1300,2883.783,6,1,30
1200-1300,4362.666,7,0.38,45
1300-1400,2556.724,7,0.492,27.5
1300-1400,3657.917,8,1,37.5
1400-1500,2405.946,8,0.28,25
1400-1500,3738.617,9,1,40
1500-1600,2258.122,9,0.2019,25
1500-1600,3960.892,10,1,40
1600-1700,2338.0185,10,0.14,25
1600-1700,4112.684,11,1,42.5
1700-1800,2400,11,0.13,25
1700-1800,3973.714,12,1,40
1800-1900,4170.8509,13,1,42.5
1900-2000,4273.8869,14,1,45
2000-2100,,15,,0
2100-2200,4415.7515,16,1,45
2200-2300,4758.5671,17,1,50
2300-2400,4724.86,18,1,47.5
2400-2500,,19,,0
2500-2600,4743.418,20,1,47.5
2600-2700,4452.618,21,1,45
2700-2800,4541.5148,22,1,47.5
2800-2900,4697.262,23,1,50
2900-3000,4706.891,24,1,47.5
3000-3100,5096.819,25,1,52.5
3100-3200,5025.298,26,1,52.5
3200-3300,5270.262,27,1,55
3300-3400,5208.771,28,1,52.5
3400-3500,5059.52,29,1,52.5
3500-3600,5095.982,30,1,52.5
3600-3700,5336.086,31,1,55
